matchID,seriesID,seriesName,matchDescription,matchFormat,startDate,endDate,state,status,teamID,teamName,team1Name,team1imageID,team2teamId,team2Name,team2Name,team2imageId,venueInfoid,venueInfoground,city,timezone,latitude,longitude,currBatTeamId,seriesStartDt,seriesEndDt,isTimeAnnounced,stateTitle,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inngs2inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs2isDeclared,inngs1isDeclared,inngs2isFollowOn,inngs1isDeclared
78635.0,6927.0,"England tour of India, 2024",2nd Test,TEST,1706846400000,1707217200000,Complete,India won by 106 runs,2.0,India,IND,172115.0,9.0,England,ENG,172123.0,154.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,+05:30,17.797459,83.352254,2.0,1706140800000,1710288000000,True,IND Won,1.0,396.0,10.0,111.6,3.0,255.0,10.0,78.3,2.0,253.0,10.0,55.5,4.0,292.0,10.0,69.2,,,,
78082.0,6892.0,"South Africa tour of New Zealand, 2024",2nd Test,TEST,1707775200000,1708146000000,Complete,New Zealand won by 7 wkts,11.0,South Africa,RSA,172126.0,13.0,New Zealand,NZ,172128.0,100.0,Seddon Park,Hamilton,+13:00,-37.786654,175.266647,13.0,1706486400000,1708300800000,True,NZ Won,1.0,242.0,10.0,97.2,3.0,235.0,10.0,69.5,2.0,211.0,10.0,77.3,4.0,269.0,3.0,94.2,,,,
78075.0,6892.0,"South Africa tour of New Zealand, 2024",1st Test,TEST,1706997600000,1707368400000,Complete,New Zealand won by 281 runs,13.0,New Zealand,NZ,172128.0,11.0,South Africa,RSA,172126.0,393.0,Bay Oval,Mount Maunganui,+13:00,-37.670300,176.212006,13.0,1706486400000,1708300800000,True,NZ Won,1.0,511.0,10.0,143.6,3.0,179.0,4.0,42.6,2.0,162.0,10.0,72.5,4.0,247.0,10.0,79.6,True,,,
87901.0,7481.0,"Afghanistan tour of Sri Lanka, 2024",1st T20I,T20,1708176600000,1708189200000,Complete,Sri Lanka won by 4 runs,5.0,Sri Lanka,SL,172119.0,96.0,Afghanistan,AFG,172188.0,13.0,Rangiri Dambulla International Stadium,Dambulla,+05:30,7.859556,80.634026,5.0,1706832000000,1708646400000,True,SL Won,1.0,160.0,10.0,18.6,,,,,2.0,156.0,9.0,19.6,,,,,,,,
87897.0,7481.0,"Afghanistan tour of Sri Lanka, 2024",3rd ODI,ODI,1707901200000,1707930000000,Complete,Sri Lanka won by 7 wkts,96.0,Afghanistan,AFG,172188.0,5.0,Sri Lanka,SL,172119.0,254.0,Pallekele International Cricket Stadium,Pallekele,+05:30,7.280691,80.722493,5.0,1706832000000,1708646400000,True,SL Won,1.0,266.0,10.0,48.2,,,,,2.0,267.0,3.0,35.2,,,,,,,,
87894.0,7481.0,"Afghanistan tour of Sri Lanka, 2024",2nd ODI,ODI,1707642000000,1707670800000,Complete,Sri Lanka won by 155 runs,5.0,Sri Lanka,SL,172119.0,96.0,Afghanistan,AFG,172188.0,254.0,Pallekele International Cricket Stadium,Pallekele,+05:30,7.280691,80.722493,5.0,1706832000000,1708646400000,True,SL Won,1.0,308.0,6.0,49.6,,,,,2.0,153.0,10.0,33.5,,,,,,,,
87887.0,7481.0,"Afghanistan tour of Sri Lanka, 2024",1st ODI,ODI,1707469200000,1707498000000,Complete,Sri Lanka won by 42 runs,5.0,Sri Lanka,SL,172119.0,96.0,Afghanistan,AFG,172188.0,254.0,Pallekele International Cricket Stadium,Pallekele,+05:30,7.280691,80.722493,5.0,1706832000000,1708646400000,True,SL Won,1.0,381.0,3.0,49.6,,,,,2.0,339.0,6.0,49.6,,,,,,,,
87880.0,7481.0,"Afghanistan tour of Sri Lanka, 2024",Only Test,TEST,1706848200000,1707219000000,Complete,Sri Lanka won by 10 wkts,96.0,Afghanistan,AFG,172188.0,5.0,Sri Lanka,SL,172119.0,14.0,Sinhalese Sports Club,Colombo,+05:30,6.905929,79.869403,5.0,1706832000000,1708646400000,True,SL Won,1.0,198.0,10.0,62.4,3.0,296.0,10.0,112.3,2.0,439.0,10.0,109.2,4.0,56.0,,7.2,,,,
89040.0,7553.0,"Canada tour of Nepal, 2024",3rd ODI,ODI,1707708600000,1707737400000,Complete,Nepal won by 9 wkts,26.0,Canada,CAN,172140.0,72.0,Nepal,NEP,172169.0,458.0,Tribhuvan University International Cricket Ground,Kirtipur,+05:45,27.6768145,85.287199,72.0,1707350400000,1707868800000,True,NEP Won,1.0,232.0,8.0,49.6,,,,,2.0,234.0,1.0,44.3,,,,,,,,
89033.0,7553.0,"Canada tour of Nepal, 2024",2nd ODI,ODI,1707535800000,1707564600000,Complete,Nepal won by 4 wkts,26.0,Canada,CAN,172140.0,72.0,Nepal,NEP,172169.0,458.0,Tribhuvan University International Cricket Ground,Kirtipur,+05:45,27.6768145,85.287199,72.0,1707350400000,1707868800000,True,NEP Won,1.0,285.0,9.0,49.6,,,,,2.0,287.0,6.0,45.1,,,,,,,,
